UserId,SurveyId,ANS_Q1,ANS_Q2,ANS_Q3,ANS_Q4
42,1,3.0,-1.0,-1.0,Null
296,1,5.0,-1.0,-1.0,Null
1793,1,-1.0,6.0,-1.0,Null
2411,1,-1.0,1.0,-1.0,Null
2634,1,3.0,-1.0,-1.0,Null
2957,1,-1.0,2.0,-1.0,Null
3714,1,7.0,-1.0,-1.0,Null
4682,1,-1.0,3.0,-1.0,Null
5178,1,-1.0,8.0,-1.0,Null
6131,1,9.0,-1.0,-1.0,Null
7347,1,9.0,-1.0,-1.0,Null
8245,1,1.0,-1.0,-1.0,Null
8412,1,-1.0,3.0,-1.0,Null
9272,1,5.0,-1.0,-1.0,Null
9584,1,9.0,-1.0,-1.0,Null
10291,1,5.0,-1.0,-1.0,Null
10541,1,4.0,-1.0,-1.0,Null
10976,1,-1.0,5.0,-1.0,Null
12119,1,7.0,-1.0,-1.0,Null
12447,1,6.0,-1.0,-1.0,Null
13187,1,8.0,-1.0,-1.0,Null
15248,1,0.0,-1.0,-1.0,Null
15984,1,3.0,-1.0,-1.0,Null
16434,1,0.0,-1.0,-1.0,Null
17609,1,-1.0,6.0,-1.0,Null
18176,1,-1.0,6.0,-1.0,Null
18636,1,-1.0,1.0,-1.0,Null
18730,1,0.0,-1.0,-1.0,Null
19156,1,-1.0,3.0,-1.0,Null
19354,1,-1.0,5.0,-1.0,Null
19662,1,1.0,-1.0,-1.0,Null
20039,1,-1.0,8.0,-1.0,Null
20108,1,0.0,-1.0,-1.0,Null
21617,1,2.0,-1.0,-1.0,Null
22382,1,5.0,-1.0,-1.0,Null
22453,1,-1.0,0.0,-1.0,Null
22766,1,6.0,-1.0,-1.0,Null
24063,1,4.0,-1.0,-1.0,Null
24610,1,0.0,-1.0,-1.0,Null
25088,1,9.0,-1.0,-1.0,Null
25149,1,2.0,-1.0,-1.0,Null
25937,1,-1.0,8.0,-1.0,Null
26465,1,3.0,-1.0,-1.0,Null
26941,1,3.0,-1.0,-1.0,Null
27198,1,-1.0,5.0,-1.0,Null
27496,1,-1.0,2.0,-1.0,Null
27553,1,7.0,-1.0,-1.0,Null
30100,1,-1.0,0.0,-1.0,Null
30480,1,1.0,-1.0,-1.0,Null
30913,1,0.0,-1.0,-1.0,Null
31404,1,-1.0,0.0,-1.0,Null
-32330,1,-1.0,9.0,-1.0,Null
-32074,1,-1.0,2.0,-1.0,Null
-32069,1,-1.0,8.0,-1.0,Null
-31488,1,-1.0,9.0,-1.0,Null
-31484,1,-1.0,3.0,-1.0,Null
-28408,1,-1.0,0.0,-1.0,Null
-27387,1,-1.0,8.0,-1.0,Null
-27007,1,-1.0,7.0,-1.0,Null
-25236,1,8.0,-1.0,-1.0,Null
-24944,1,7.0,-1.0,-1.0,Null
-23067,1,7.0,-1.0,-1.0,Null
-22776,1,2.0,-1.0,-1.0,Null
-21585,1,3.0,-1.0,-1.0,Null
-21533,1,-1.0,9.0,-1.0,Null
-21428,1,-1.0,5.0,-1.0,Null
-21032,1,-1.0,5.0,-1.0,Null
-20975,1,-1.0,4.0,-1.0,Null
-20740,1,5.0,-1.0,-1.0,Null
-20601,1,1.0,-1.0,-1.0,Null
-19456,1,1.0,-1.0,-1.0,Null
-19242,1,-1.0,9.0,-1.0,Null
-19018,1,-1.0,0.0,-1.0,Null
-18836,1,-1.0,7.0,-1.0,Null
-18705,1,-1.0,4.0,-1.0,Null
-17766,1,1.0,-1.0,-1.0,Null
-17668,1,-1.0,1.0,-1.0,Null
-16213,1,-1.0,7.0,-1.0,Null
-16209,1,-1.0,0.0,-1.0,Null
-16035,1,-1.0,7.0,-1.0,Null
-15668,1,0.0,-1.0,-1.0,Null
-15665,1,-1.0,6.0,-1.0,Null
-15298,1,-1.0,3.0,-1.0,Null
-14926,1,3.0,-1.0,-1.0,Null
-13696,1,-1.0,3.0,-1.0,Null
-13171,1,-1.0,6.0,-1.0,Null
-11702,1,3.0,-1.0,-1.0,Null
-11567,1,6.0,-1.0,-1.0,Null
-10270,1,0.0,-1.0,-1.0,Null
-8940,1,0.0,-1.0,-1.0,Null
-8787,1,5.0,-1.0,-1.0,Null
-8290,1,-1.0,4.0,-1.0,Null
-7940,1,4.0,-1.0,-1.0,Null
-7319,1,-1.0,1.0,-1.0,Null
-6188,1,2.0,-1.0,-1.0,Null
-4172,1,2.0,-1.0,-1.0,Null
-4146,1,-1.0,8.0,-1.0,Null
-3765,1,-1.0,5.0,-1.0,Null
-3467,1,-1.0,5.0,-1.0,Null
-3204,1,-1.0,3.0,-1.0,Null
-2377,1,1.0,-1.0,-1.0,Null
-1949,1,9.0,-1.0,-1.0,Null
-1432,1,-1.0,5.0,-1.0,Null
27,1,6.0,-1.0,-1.0,Null
1684,1,8.0,-1.0,-1.0,Null
1731,1,-1.0,3.0,-1.0,Null
1903,1,-1.0,9.0,-1.0,Null
2233,1,7.0,-1.0,-1.0,Null
2452,1,-1.0,0.0,-1.0,Null
2830,1,8.0,-1.0,-1.0,Null
2891,1,4.0,-1.0,-1.0,Null
3028,1,0.0,-1.0,-1.0,Null
4756,1,-1.0,4.0,-1.0,Null
4788,1,-1.0,6.0,-1.0,Null
5142,1,0.0,-1.0,-1.0,Null
5810,1,8.0,-1.0,-1.0,Null
7165,1,0.0,-1.0,-1.0,Null
7815,1,1.0,-1.0,-1.0,Null
8841,1,4.0,-1.0,-1.0,Null
9010,1,-1.0,5.0,-1.0,Null
9400,1,-1.0,1.0,-1.0,Null
9911,1,3.0,-1.0,-1.0,Null
10317,1,6.0,-1.0,-1.0,Null
10335,1,8.0,-1.0,-1.0,Null
